id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
545022151966438713,Cómoda casa de huéspedes nueva con parrilla,entire_home,"5,0 (30)",San Carlos de Bariloche,-41.12955,-71.25106,"['3 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 cama de una plaza', 'más', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-10-01,2023-10-06,$69 USD,$81 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
550807374525703424,Acogedor estudio en la  costa del lago,entire_home,"4,97 (31)",San Carlos de Bariloche,-41.07104,-71.53025,"['1 cama', 'Monoambiente', '1 baño', 'Estacionamiento gratis', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$95 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
22759200,Arrayán.  Luminoso y acogedor departamento,entire_home,"4,84 (98)",San Carlos de Bariloche,-41.11291,-71.44117,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 cama de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,7 de 5 en limpieza']",2023-09-06,2023-09-11,,$40 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
554319517238694179,Cabaña Raulí para 8 con jacuzzi,entire_home,"4,94 (17)",San Carlos de Bariloche,-41.14502,-71.41274,"['7 camas', '4 dormitorios', '1 ,5 baños', '2 camas dobles', '4 camas de una plaza', 'más', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-09-05,2023-09-11,$157 USD,$185 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
617274793784739463,Cabaña Los Robles vista Bosque  4 personas  Relax,entire_home,"4,94 (32)",San Martin de los Andes,-40.15226,-71.34312,"['3 camas', '2 dormitorios', '1 baño', '1 cama doble', '2 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-07-01,2023-07-06,$87 USD,$115 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
46080428,Casa Náutica La Cascada con Vista al Lago.,entire_home,"4,8 (49)",San Carlos de Bariloche,-41.11966,-71.37627,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 sofá cama', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-07-11,2023-07-16,,$168 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
596437715857861711,"Cabaña en la montaña""Huet Huet""",entire_home,"5,0 (14)",San Carlos de Bariloche,-41.13846,-71.36574,"['2 camas', '1 dormitorio', '1 baño', '1 cama doble', '1 cama de una plaza', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-08-31,2023-09-05,,$26 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
27782581,Depto Soñado en San Martín de los Andes (centro),entire_home,"4,96 (108)",San Martin de los Andes,-40.1524,-71.35152,"['2 camas', 'Monoambiente', '1 baño', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,$62 USD,$85 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
48485530,"Depto. Super Amplio en Polo, Arelauquen Golf Club",entire_home,"4,96 (28)",San Carlos de Bariloche,-41.163597,-71.361763,"['6 camas', '4 dormitorios', '3 baños', '2 camas king', '4 camas de una plaza', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,9 de 5 en limpieza']",2023-09-05,2023-09-11,,$250 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
39227145,Balcón al paraíso.,entire_home,"4,96 (48)",San Carlos de Bariloche,-41.10732,-71.4499,"['2 camas', 'Monoambiente', '1 baño', '1 cama doble', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-08-25,2023-08-31,,$69 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
